Scientific Name,Common Name,Species Type,Status,Reason For Change,Year
Cephalophus spadix,Abbott’s Duiker,Mammal,EN,G,2007.0
Gazella spekei ,Speke’s Gazelle,Mammal,EN,G,2007.0
Gorilla gorilla,Western Gorilla,Mammal,CR,G,2007.0
Lipotes vexillifer,Baiji,Mammal,CR(PE),G,2007.0
Mazama chunyi,Dwarf Brocket Deer,Mammal,VU,N,2007.0
Procapra picticaudata,Tibetan Gazelle,Mammal,NT,G,2007.0
Ardea insignis,White-bellied Heron,Bird,CR,N,2007.0
Aythya innotata,Madagascar Pochard,Bird,CR,N,2007.0
Brachypteryx hyperythra,Rusty-bellied Shortwing,Bird,NT,N,2007.0
Branta ruficollis,Red-breasted Goose,Bird,EN,G,2007.0
Charadrius pallidus,Chestnut-banded Plover,Bird,NT,N,2007.0
Charadrius sanctaehelenae ,St Helena Plover,Bird,CR,G,2007.0
Chthonicola sagittatus,Speckled Warbler,Bird,LC,N,2007.0
Cinclodes pabsti,Long-tailed Cinclodes,Bird,NT,N,2007.0
Coeligena orina,Dusky Starfrontlet,Bird,CR,N,2007.0
Corvus unicolor,Banggai Crow,Bird,CR,N,2007.0
Euphagus carolinus,Rusty Blackbird,Bird,VU,N,2007.0
Eurystomus azureus,Purple Dollarbird,Bird,NT,N,2007.0
Ficedula henrici ,Damar Flycatcher,Bird,NT,N,2007.0
Francolinus streptophorus,Ring-necked Francolin,Bird,NT,N,2007.0
Gallicolumba crinigera,Mindanao Bleeding-heart,Bird,VU,N,2007.0
Garrulax courtoisi,Blue-crowned Laughingthrush,Bird,CR,N,2007.0
Gypopsitta pyrilia,Saffron-headed Parrot,Bird,NT,N,2007.0
Gyps africanus,White-backed Vulture,Bird,NT,N,2007.0
Gyps rueppellii,Rueppell’s Vulture,Bird,NT,N,2007.0
Heteromirafra sidamoensis,Sidamo Lark,Bird,EN,N,2007.0
Heteromunia pectoralis,Pictorella Munia,Bird,LC,N,2007.0
Houbaropsis bengalensis,Bengal Florican,Bird,CR,G,2007.0
Macroagelaius subalaris,Mountain Grackle,Bird,EN,N,2007.0
Macronectes giganteus,Southern Giant-petrel,Bird,NT,N,2007.0
Melamprosops phaeosoma,Poo-uli,Bird,CR(PE),N,2007.0
Neophron percnopterus,Egyptian Vulture,Bird,EN,G,2007.0
Oxyura maccoa,Maccoa Duck,Bird,NT,N,2007.0
Pelecanus philippensis,Spot-billed Pelican,Bird,NT,N,2007.0
Penelopina nigra,Highland Guan,Bird,VU,N,2007.0
Phapitreron cinereiceps,Tawitawi Brown-dove,Bird,EN,N,2007.0
Phoebastria irrorata, Waved Albatross,Bird,CR,G,2007.0
Procellaria conspicillata,Speckled Petrel,Bird,VU,N,2007.0
Psittacula eques ,Mauritius Parakeet,Bird,EN,G,2007.0
Psittacus erithacus,Grey Parrot,Bird,NT,N,2007.0
Sarcogyps calvus,Red-headed Vulture,Bird,VU,G,2007.0
Sheppardia gunningi ,East Coast Akalat,Bird,NT,N,2007.0
Siphonorhis brewsteri,Least Pauraque,Bird,NT,N,2007.0
Trigonoceps occipitalis ,White-headed Vulture,Bird,VU,N,2007.0
Aspidoscelis hyperythra,Orangethroat Whiptail,Reptile,LC,N,2007.0
Gavialis gangeticus,Gharial,Reptile,CR,G,2007.0
Heloderma horridum,Beaded Lizard,Reptile,LC,N,2007.0
Heloderma suspectum,Gila Monster,Reptile,NT,N,2007.0
Kinosternon creaseri,Yucatan Mud Turtle,Reptile,LC,N,2007.0
Kinosternon oaxacae,Oaxaca Mud Turtle,Reptile,DD,N,2007.0
Rhinoclemmys rubida,Mexican Spotted Wood Turtle,Reptile,NT,N,2007.0
Thamnophis hammondii,Two-striped Gartersnake,Reptile,LC,N,2007.0
Xantusia riversiana,Island Night Lizard,Reptile,LC,N,2007.0
Aspidoscelis hyperythra,Orangethroat Whiptail,Reptile,LC,N,2007.0
Serranochromis meridianus,Lowveld Largemouth,Fish,EN,G,2007.0
Sphyrna mokarran,Great Hammerhead Shark,Fish,EN,N,2007.0
Squatina aculeata,Sawback Angelshark,Fish,CR,N,2007.0
Squatina guggenheim,Hidden Angelshark,Fish,EN,N,2007.0
Squatina oculata,Smoothback Angelshark,Fish,CR,N,2007.0
Croilia mossambica,Burrowing Goby,Fish,LC,N,2007.0
Barbus andrewi,Berg-Breede River Whitefish,Fish,EN,N,2007.0
Barbus brevipinnis,Shortfin Barb,Fish,NT,N,2007.0
Barbus calidus,Clanwilliam Redfin,Fish,VU,N,2007.0
Barbus hospes,Namaquab Barb,Fish,LC,N,2007.0
Barbus treurensis,Treur River Barb,Fish,EN,N,2007.0
Barbus trevelyani,Border Barb,Fish,EN,N,2007.0
Labeo seeberi,Clanwilliam Sandfish,Fish,EN,N,2007.0
Opsaridium peringueyi,Southern Barred Minnow,Fish,LC,N,2007.0
Pseudobarbus afer,Eastern Cape Redfin,Fish,EN,N,2007.0
Pseudobarbus asper,Smallscale Redfin,Fish,EN,N,2007.0
Pseudobarbus burchelli,Tradou Redfin,Fish,CR,N,2007.0
Pseudobarbus burgi,Berg River Redfin,Fish,EN,N,2007.0
Pseudobarbus quathlambae,Maloti Redfin,Fish,EN,N,2007.0
Pseudobarbus tenuis,Slender Redfin,Fish,NT,N,2007.0
Nothobranchius kafuensis,Caprivi Killifish,Fish,LC,N,2007.0
Nothobranchius kirki,Kirk's Killifish,Fish,LC,N,2007.0
Nothobranchius orthonotus,Spotted Killifish,Fish,LC,N,2007.0
Sandelia capensis,Cape Kurper,Fish,DD,N,2007.0
Chetia brevis,Orange-Fringed River Bream,Fish,EN,N,2007.0
Aciagrion heterosticta,,Invertebrate,DD,N,2007.0
Aeshna persephone,Persephone's Darner,Invertebrate,LC,N,2007.0
Africallagma cuneistigma,,Invertebrate,VU,N,2007.0
Anoglypta launcestonensis,Granulated Tasmanian Snail,Invertebrate,NT,N,2007.0
Bellamya monardi,,Invertebrate,NT,N,2007.0
Biomphalaria angulosa,,Invertebrate,LC,N,2007.0
Biomphalaria salinarum,,Invertebrate,DD,N,2007.0
Bulinus canescens,,Invertebrate,LC,N,2007.0
Discocharopa mimosa,,Invertebrate,LC,N,2007.0
Ecchlorolestes nylephtha,Queen Malachite,Invertebrate,NT,N,2007.0
